あ,ア,a,11
い,イ,i,11
う,ウ,u,11
え,エ,e,11
お,オ,o,11
か,カ,ka,11
き,キ,ki,11
く,ク,ku,11
け,ケ,ke,11
こ,コ,ko,11
さ,サ,sa,11
し,シ,shi,11
す,ス,su,11
せ,セ,se,11
そ,ソ,so,11
た,タ,ta,11
ち,チ,chi,11
つ,ツ,tsu,11
て,テ,te,11
と,ト,to,11
な,ナ,na,11
に,ニ,ni,11
ぬ,ヌ,nu,11
ね,ネ,ne,11
の,ノ,no,11
は,ハ,ha,11
ひ,ヒ,hi,11
ふ,フ,fu,11
へ,ヘ,he,11
ほ,ホ,ho,11
ま,マ,ma,11
み,ミ,mi,11
む,ム,mu,11
め,メ,me,11
も,モ,mo,10
や,ヤ,ya,10
ゆ,ユ,yu,10
よ,ヨ,yo,01
ら,ラ,ra,01
り,リ,ri,10
る,ル,ru,1
れ,レ,re,10
ろ,ロ,ro,1
わ,ワ,wa,11
を,ヲ,wo,11
ん,ン,n,11
